"BUILDING_NAME_ENG","BUILDING_ID","DISTRICT_CODE","SBBS_COVERAGE","FTTO_COVERAGE","BDEL_COVERAGE","HKBN_WTT_COVERAGE"
"","42307704",210,"N","Y","N","Y"
"","15201904",112,"N","Y","N","Y"
"","15202001",112,"N","Y","N","Y"
"","15202002",112,"N","Y","N","Y"
"","15202201",112,"N","Y","N","Y"
"","15202202",112,"N","Y","N","Y"
"","15211001",112,"N","Y","N","Y"
"","15211002",112,"N","Y","N","Y"
"","15211003",112,"N","Y","N","Y"
"","15211101",112,"N","Y","N","Y"
"","15211102",112,"N","Y","N","Y"
"","15211103",112,"N","Y","N","Y"
"","15211104",112,"N","Y","N","Y"
"","15211105",112,"N","Y","N","Y"
"","15211106",112,"N","Y","N","Y"
"","15211107",112,"N","Y","N","Y"
"","15211108",112,"N","Y","N","Y"
"","15211109",112,"N","Y","N","Y"
"","15211110",112,"N","Y","N","Y"
"","15211111",112,"N","Y","N","Y"
"","15211112",112,"N","Y","N","Y"
"","15211113",112,"N","Y","N","Y"
"","15211114",112,"N","Y","N","Y"
"GLEN CIRCUIT","15211501",112,"N","Y","N","Y"
"DRAGON VIEW GARDEN","15211801",112,"N","Y","N","Y"
"HO KING VIEW","15212201",112,"N","Y","N","Y"
"","15212701",112,"N","Y","N","Y"
"","15212802",112,"N","N","N","N"
"","15212803",112,"N","N","N","N"
"","15212804",112,"N","N","N","N"
"","15301802",112,"N","N","N","N"
"","15301804",112,"N","N","N","N"
"","15301805",112,"N","N","N","N"
"","15301806",112,"N","N","N","N"
"","15301807",112,"N","N","N","N"
"VILLA CLAIRE","15303001",112,"N","N","N","N"
"GOLDEN PINE COURT","15303601",112,"N","N","N","N"
"GOLDEN CEDAR COURT","15303602",112,"N","N","N","N"
"GOLDEN MAPIE COURT","15303603",112,"N","N","N","N"
"GOLDEN PEACH COURT","15303604",112,"N","N","N","N"
"GOLDEN CASSIA COURT","15303605",112,"N","N","N","N"
"KING'S COURT","15303801",112,"N","N","N","N"
"","12103502",105,"","N","","Y"
"JOYFUL BUILDING","11106301",101,"N","Y","","Y"
"","29807801",29,"","N","","Y"
"NO. 127 KAU LUNG HANG SAN WAI","63102757",219,"N","Y","","N"
"DD112 LOT591 RP SHUI LAU TIN","52106499",211,"N","Y","","N"
"KIU FAI MANSION","15303901",112,"N","Y","N","Y"
"","15304001",112,"N","N","N","N"
"","15304604",112,"N","N","N","N"
"","15304903",112,"N","Y","N","Y"
"DAK SHING BUILDING","15305301",112,"N","N","N","N"
"KA BO BUILDING","15306001",112,"N","N","N","N"
"","15306101",112,"N","N","N","N"
"RICA VICTORIA","15306201",112,"N","N","N","N"
"KING'S WAY MANSION","15306301",112,"N","N","N","N"
"","15306801",112,"N","Y","N","Y"
"","15306805",112,"N","Y","N","Y"
"WEALTHY COURT","15306901",112,"N","N","N","N"
"ETERNAL BUILDING","15307701",112,"N","N","N","N"
"WAI OI HOUSE","15307801",112,"N","N","N","N"
"","15308001",112,"N","N","N","N"
"","15308002",112,"N","N","N","N"
"","15308003",112,"N","N","N","N"
"","15308004",112,"N","N","N","N"
"","15308005",112,"N","N","N","N"
"","15308006",112,"N","N","N","N"
"","15308007",112,"N","N","N","N"
"","15308008",112,"N","N","N","N"
"","15308101",112,"N","N","N","N"
"","15308102",112,"N","N","N","N"
"WAH HING BUILDING","15308201",112,"N","N","N","N"
"","15308401",112,"N","N","N","N"
"","15308402",112,"N","N","N","N"
"","15308403",112,"N","N","N","N"
"","15308404",112,"N","N","N","N"
"WINNER HOUSE","15308501",112,"N","N","N","N"
"HARBOUR COURT","15308601",112,"N","N","N","N"
"","15308702",112,"N","N","N","N"
"MARBLE COURT","15309301",112,"N","N","N","N"
"","17203601",126,"","N","","Y"
"","12217901",105,"","N","","Y"
"","83804007",32,"N","N","N","N"
"HOVER (HOOVER) COURT","32705301",201,"N","Y","N","Y"
"","27204904",17,"N","N","N","N"
"","24124701",13,"N","N","N","N"
"","51504201",211,"N","N","N","N"
"WO YUE HOUSE","75804903",222,"N","N","N","Y"
"BLOSSOM GDN COMMERCIAL AREA","42308904",210,"N","N","N","N"
"KWAI HIN HOUSE","29424003",25,"N","Y","N","Y"
"","14304002",127,"N","Y","N","N"
"","14205401",128,"N","Y","N","N"
"","22110301",7,"N","Y","N","Y"
"","42404703",210,"N","Y","N","Y"
"","97102111",315,"N","N","N","N"
"","52704218",211,"N","Y","N","Y"
"HOUSE 187","72805188",219,"N","Y","N","N"
"","82303402",33,"N","N","N","N"
"","22249001",8,"N","N","N","N"
"","51100202",211,"N","N","N","N"
"","26753601",6,"N","N","N","N"
"","75712102",223,"N","N","N","N"
"","96203101",318,"N","N","N","N"
"TAI YAT HOUSE","00101218",311,"N","N","N","Y"
"WINFIELD COMMERCIAL BUILDING","00001153",10,"N","Y","N","Y"
"FUNG LOK COMMERCIAL BUILDING","00001155",104,"N","Y","N","Y"
"GALAXY FACTORY BUILDING","00001196",20,"Y","N","Y","Y"
"","22222201",8,"N","N","N","Y"
"","22223401",8,"N","N","N","Y"
"","28111601",21,"N","N","N","Y"
"","26418301",2,"N","N","N","Y"
"","22149201",8,"N","N","N","Y"
"GAYLORD COMMERCIAL BUILDING","00001227",106,"N","Y","Y","Y"
"","00001231",13,"N","N","N","Y"
"","00001264",103,"N","N","N","Y"
"","00001266",106,"N","N","N","Y"
"","00001270",9,"N","N","N","Y"
"","00001274",116,"N","N","N","Y"
"","22221701",8,"N","N","N","Y"
"","22110601",7,"N","N","N","Y"
"","22145301",8,"N","N","N","Y"
"","22102602",8,"N","N","N","Y"
"","22145501",8,"N","N","N","Y"
"","22145601",8,"N","N","N","Y"
"","22145701",8,"N","N","N","Y"
"","22145901",8,"N","N","N","Y"
"","22146101",7,"N","N","N","Y"
"","22222001",8,"N","N","N","Y"
"","22147401",7,"N","N","N","Y"
"","00001279",106,"N","N","N","Y"
"GOLDFIELD TOWER","00001285",11,"Y","N","Y","Y"
"EDGE","00001293",201,"N","Y","N","Y"
"GOLD UNION COMMERCIAL BUILDING","00001297",104,"N","Y","N","N"
"BLOCK F & G, GOLDEN BEAR INDUSTRIAL CENTRE","00001300",202,"N","Y","Y","Y"
"FUNG YU INDUSTRIAL BUILDING","00001182",11,"Y","N","Y","Y"
"","00001340",104,"N","N","N","Y"
"","22142501",8,"N","N","N","Y"
"","22143101",8,"N","N","N","Y"
"","26110901",2,"N","N","N","Y"
"","26418201",2,"N","N","N","Y"
"","22143501",7,"N","N","N","Y"
"","22143801",8,"N","N","N","Y"
"","22143901",7,"N","N","N","Y"
"GOLDEN STAR BUILDING","00001354",106,"N","Y","N","Y"
"GOLD SWAN COMMERCIAL BUILDING","00001356",106,"Y","N","Y","Y"
"GOLDFIELD IND BLDG","00001361",201,"Y","N","Y","Y"
"GOLDFIELD INDUSTRIAL CENTRE","00001362",222,"Y","N","Y","Y"
"","00001366",108,"N","N","N","Y"
"","00001367",116,"N","N","N","Y"
"GEE LOK INDUSTRIAL BUILDING","00001235",26,"Y","N","N","Y"
"","00001236",13,"N","N","N","Y"
"GEE LUEN FACTORY BUILDING","00001237",26,"N","Y","N","Y"
"GEE TUCK BUILDING","00001238",104,"N","Y","Y","Y"
"64 BROADWAY","26000947",1,"N","Y","N","Y"
"130 BROADWAY","26000921",1,"N","Y","N","Y"
"63 BROADWAY","26003133",1,"N","Y","N","Y"
"120 BROADWAY","26003201",1,"N","Y","N","Y"
"GATE HOUSE 2B OFFICE, RIVER TRADE TERMINAL","00100166",210,"N","N","Y","N"
"GATE HOUSE 2B NO.3, RIVER TRADE TERMINAL","00100169",210,"N","N","Y","N"
"GATE HOUSE 2B NO.4, RIVER TRADE TERMINAL","00100170",210,"N","N","Y","N"
"GATE HOUSE 2A NO.2, RIVER TRADE TERMINAL","00100174",210,"N","N","Y","N"
"GATE HOUSE 2A NO.4, RIVER TRADE TERMINAL","00100176",210,"N","N","Y","N"
"METRO CITY SHOPPING ARCADE","00013497",32,"N","Y","Y","N"
"METRO CITY PLAZA 2","00013498",32,"N","N","Y","Y"
"MAYWOOD COURT KINDERGARTEN 1, KINGSWOOD VILLAS","00100178",212,"N","N","Y","N"
"HARBOUR PLAZA RESORT CITY  (KINGSWOOD GINZA HOTEL), PHASE 2, KINGSWOOD VILLAS","00100102",212,"N","Y","Y","N"
"JOINT WIN CONTAINER, RIVER TRADE TERMINAL","00100105",210,"N","N","Y","N"
"GATE BOOTH 3, RIVER TRADE TERMINAL","00100107",210,"N","N","Y","N"
"GATE BOOTHS 5(SOUTH), RIVER TRADE TERMINAL","00100110",210,"N","N","Y","N"
"GATE BOOTHS 6(NORTH), RIVER TRADE TERMINAL","00100111",210,"N","N","Y","N"
"GATE BOOTH 7(NORTH), RIVER TRADE TERMINAL","00100113",210,"N","N","Y","N"
"GATE BOOTHS 7(SOUTH), RIVER TRADE TERMINAL","00100114",210,"N","N","Y","N"
"GATE BOOTH 8(NORTH), RIVER TRADE TERMINAL","00100115",210,"N","N","Y","N"
"GATE BOOTH 8(SOUTH), RIVER TRADE TERMINAL","00100116",210,"N","N","Y","N"
"GATE BOOTH 10, RIVER TRADE TERMINAL","00100118",210,"N","N","Y","N"
"GATE BOOTHS 11, RIVER TRADE TERMINAL","00100119",210,"N","N","Y","N"
"IMMIGRATION BUILDING, RIVER TRADE TERMINAL","00100120",210,"N","N","Y","N"
"TEMPORARY WORKSHOP, RIVER TRADE TERMINAL","00100122",210,"N","N","Y","N"
"WORKSHOP BUILDING, RIVER TRADE TERMINAL","00100123",210,"N","N","Y","N"
